SLN,Days,Time
11457AA,MW,930-1120
11458AB,MW,930-1120
11459AC,MW,1130-120
11462AF,MW,330-520
>11463A,MWF,1000-1050
>11464AA,TTh,830-1120
>11465AB,TTh,1130-220
>11466AC,TTh,230-520
11468AA,T,330-420
11470AC,Th,330-420
11471A,MW,330-450
11475AD,F,330-420
11480A,F,230-520
11485AA,F,1230-120
11489AE,F,1030-1120
11493A,F,1130-1220
11494A,Th,1230-120
11496A,M,330-520
11498A,T,1130-120
Restr11506B,F,330-420
Restr11510A,MW,1130-1250
Restr11511A,Th,400-520
Restr11525A,Th,530-720
Restr11526A,MWF,830-920
Restr11529AC,MW,1130-120
Restr11530AD,MW,1130-120
Restr11531AE,MW,130-320
Restr11532AF,MW,330-520
Restr11533B,Th,1230-120
Restr11534C,Th,300-350
Restr11545A,MW,1000-1120
11302A,TTh,230-350
21542A,W,330-420
21547B,W,430-520
21548C,W,530-620
21549D,Th,930-1020
21551F,Th,1130-1220
21553H,Th,430-520
11303A,MTWThF,1030-1120
11305B,T,230-420
11307D,W,230-420
11308E,Th,1230-220
11309A,TTh,1000-1120
11311AB,T,300-350
11314A,MTWThF,130-220
11321AG,T,530-720
11322AH,T,530-720
11324AJ,W,830-1020
11325AK,W,1100-1250
11329AO,W,530-720
11330AP,W,530-720
11332AR,Th,830-1020
11333AS,Th,1100-1250
11334AT,Th,1100-1250
11337AW,Th,530-720
11338AX,Th,530-720
11340A,MTWThF,230-320
11341AA,T,900-1120
11342AB,T,900-1120
11345AE,T,400-620
11347AG,W,900-1120
11348AH,W,900-1120
11350AJ,W,1200-220
11351AK,W,400-620
11357AQ,Th,400-620
11358AR,Th,400-620
11359A,MTWThF,1130-1220
11368AI,W,900-1120
11386A,MWF,930-1020
11387A,M,1130-1220
11389AB,TTh,130-420
>11390A,TTh,930-1050
11394A,MW,330-420
11396AB,Th,230-320
11398A,TTh,230-520
11399A,MWF,930-1020
11403AD,T,130-220
11404AE,T,130-220
11406A,MW,230-320
11407AA,T,1030-1120
11408AB,T,1130-1220
11409AC,T,1230-120
11410AD,T,130-220
11411A,TTh,100-220
11412AA,W,1130-1220
11413AB,W,1230-120
11415AD,W,1130-1220
>11416AE,W,1230-120
>11417AF,W,130-220
11418A,MW,130-250
>11419A,W,700-750
11428A,M,130-220
11429A,TTh,830-950
11430AA,W,1100-1220
11431AB,W,300-420
11432AC,W,1000-1120
11433AD,W,830-950
11434A,MWF,1230-120
11435AA,T,930-1020
11436AB,T,1030-1120
11437AC,T,1130-1220
11438A,MW,1030-1120
>11439AA,F,930-1120
Restr11441AC,F,1230-220
11442AD,F,1230-220
11443AE,F,230-420
>11446A,MW,1130-1250
>11447AA,TTh,830-1120
>11448AB,TTh,1130-220
>11449AC,TTh,230-520
11450A,TTh,130-250
11451A,T,900-950
>11452AA,Th,930-1050
11453AB,Th,1100-1220
11456A,MWF,830-920
11457AA,MW,930-1120
11458AB,MW,930-1120
11459AC,MW,1130-120
11462AF,MW,330-520
>11463A,MWF,1000-1050
>11464AA,TTh,830-1120
>11465AB,TTh,1130-220
>11466AC,TTh,230-520
11468AA,T,330-420
11470AC,Th,330-420
11471A,MW,330-450
11475AD,F,330-420
11480A,F,230-520
11485AA,F,1230-120
11489AE,F,1030-1120
11493A,F,1130-1220
11494A,Th,1230-120
11496A,M,330-520
11498A,T,1130-120
Restr11506B,F,330-420
Restr11510A,MW,1130-1250
Restr11511A,Th,400-520
Restr11525A,Th,530-720
Restr11526A,MWF,830-920
Restr11529AC,MW,1130-120
Restr11530AD,MW,1130-120
Restr11531AE,MW,130-320
Restr11532AF,MW,330-520
Restr11533B,Th,1230-120
Restr11534C,Th,300-350
Restr11545A,MW,1000-1120
12624A,MWF,1130-1220
12631AG,TTh,830-920
>12633A,Th,330-450
12634A,TTh,330-520
>12635A,T,430-620
12636A,MW,430-550
Restr12638A,MWThF,230-320
>12639A,MW,430-550
12640A,TTh,430-620
Restr12641A,TTh,1000-1120
Restr12642A,W,1230-120
12643A,F,1230-220
12644A,F,1030-1220
Restr12645A,W,1130-220
>15409A,F,1230-120
>15410B,F,1230-120
11963A,MWF,930-1020
11965AB,Th,930-1020
11966AC,Th,1030-1120
11967AD,Th,930-1020
11971AH,Th,130-220
11972AI,Th,130-220
11978A,MWF,1130-1220
11979AA,T,1230-120
11980AB,T,130-220
11985AG,T,1230-120
11986AH,T,1130-1220
11988AJ,T,130-220
11989AK,T,1230-120
11990AL,T,130-220
11991B,MWF,130-220
11993BB,T,230-320
11995BD,T,930-1020
11996BE,T,1130-1220
11997BF,T,830-920
11998BG,T,1130-1220
11999BH,T,1230-120
12001BJ,T,930-1020
12002BK,T,1230-120
12003BL,T,130-220
12004A,MWF,1030-1120
12006AB,Th,930-1020
12013AI,Th,130-220
12014AJ,Th,230-320
12016AL,Th,1130-1220
12017B,MWF,1230-120
12020BC,Th,930-1020
12027BJ,Th,1130-1220
12028BK,Th,830-920
12030C,MWF,230-320
12031CA,Th,830-920
12032CB,Th,930-1020
12033CC,Th,1030-1120
12034CD,Th,430-520
12035CE,Th,130-220
12036CF,Th,230-320
12037CG,Th,1130-1220
12039CI,Th,130-220
12040CJ,Th,230-320
12041CK,Th,330-420
12043A,MWF,230-320
12045AB,Th,230-320
12046AC,Th,130-220
12047A,W,330-420
12050A,TTh,1230-150
12054AD,F,330-420
12055AE,F,130-220
12056AF,F,1030-1120
12057AG,F,930-1020
12064AE,W,230-320
12066A,TTh,230-350
12067AA,F,830-920
12068AB,F,930-1020
12069AC,F,930-1020
12071AE,F,1130-1220
12072AF,F,1230-120
12073AG,F,1230-120
12074AH,F,130-220
12075AI,F,130-220
12076AJ,F,230-320
12077AK,F,230-320
12078AL,F,330-420
12079A,TTh,930-1050
12080AA,F,830-920
12082AC,F,1030-1120
12084AE,F,1230-120
12085AF,F,130-220
12086AG,F,230-320
12087AH,F,330-420
12091AL,F,130-220
12092B,TTh,200-320
12093BA,W,830-920
12094BB,W,930-1020
12095BC,W,1030-1120
12096BD,W,1130-1220
12098BF,W,130-220
12099BG,W,230-320
12100BH,W,330-420
12101C,TTh,330-450
12102CA,M,830-920
12103CB,M,930-1020
12104CC,M,1030-1120
12105CD,M,1130-1220
12106CE,M,1230-120
12107CF,M,130-220
12108CG,M,230-320
12109CH,M,330-420
12110A,M,330-420
12111AA,TTh,830-1120
12113AC,TTh,1130-220
12114AD,TTh,1130-220
12115AE,WF,830-1120
12117AG,WF,1130-220
12118AH,WF,1130-220
12120A,M,230-320
12124AD,TTh,630-920
12125AE,TTh,330-620
12126AF,TTh,630-920
12127AG,WF,930-1220
12128AH,WF,1230-320
12130AJ,WF,630-920
21481AL,WF,630-920
12132B,M,330-420
12136BD,TTh,630-920
12140BH,WF,1230-320
12141BI,WF,330-620
12142BJ,WF,630-920
12144A,T,830-920
12145AA,TTh,1230-420
12146AB,WF,1230-420
12147B,T,930-1020
12149BB,WF,1230-420
12150A,MWF,1230-120
12151AA,TTh,900-120
12153A,MWThF,1030-1120
12154A,T,1030-1120
12155AA,WF,330-620
12156AB,WF,630-920
12159A,MW,1230-120
12160AA,T,130-420
12162AC,W,130-420
12165AF,Th,430-720
12167A,MWF,1030-1120
12168A,MW,900-1020
12169A,MWThF,1130-1220
12170A,MWThF,930-1020
12171A,MWThF,930-1020
>12172A,M,130-320
12175A,M,1130-1220
12176AA,TTh,1030-120
12177A,MWF,1030-1120
Restr12181A,MWF,830-920
Restr12194A,MW,900-1020
Restr12196A,F,930-1220
Restr12197A,MWF,130-220
Restr12198A,M,1130-1220
12199AA,TTh,1030-120
Restr12204A,Th,230-320
Restr12207A,MWF,1030-1120
12208A,TTh,230-350
Restr12211A,T,330-620
Restr12212A,M,330-520
Restr12214A,W,1130-1220
Restr12215A,T,100-220
12432A,TTh,1030-1220
12433A,TTh,1230-220
Restr12435A,MW,1230-220
12436A,TTh,1030-1220
>12438A,TTh,1230-220
12439A,TTh,330-520
12440A,TTh,100-220
21486C,TTh,1230-220
12444A,TTh,1130-120
Restr12447B,TTh,230-420
>12450A,MW,130-320
>12451A,W,1230-350
11774A,MTWTh,1130-1220
11776A,MW,930-1120
11779C,MW,1230-220
11786B,TTh,1030-1220
11787C,MW,230-420
11788A,WF,830-1020
11790A,MW,1230-220
11793A,TTh,130-320
11797A,MWF,130-220
11798B,MWF,930-1020
12348A,WF,1000-1120
>12349A,M,230-520
12350A,TTh,830-920
12351B,TTh,930-1020
12352C,TTh,1030-1120
12353D,TTh,1130-1220
12354E,TTh,830-920
12355F,TTh,930-1020
12358A,MTWThF,230-320
Restr12359B,MTWThF,230-320
12360A,MWF,830-920
12361B,MWF,930-1020
12362C,MWF,1030-1120
12364E,MWF,830-920
12365F,MWF,930-1020
12368A,TTh,1030-1220
12370A,TTh,1130-1250
12371B,TTh,1130-1250
12372A,TTh,230-420
12373A,MW,230-420
12376A,TTh,1030-1220
12377A,MWF,130-220
12379A,MWF,930-1020
15093A,MTWThF,130-220
15094A,MTWF,130-220
15095A,MW,230-420
>15098A,TTh,230-420
16036A,MTWThF,930-1020
16037B,MTWThF,1030-1120
16038A,MTWF,1130-1220
16039A,TTh,230-420
12460A,MW,230-420
12464AD,F,930-1020
12465AE,F,930-1020
12473AM,F,1130-1220
12474AN,F,1130-1220
>12478A,MW,1030-1120
12482AD,TTh,830-920
12483AE,TTh,930-1020
12487AI,TTh,1030-1120
12488AJ,TTh,1030-1120
12490A,MWF,830-920
12492AB,Th,830-920
12494AD,Th,930-1020
>12497A,MW,130-320
>12500A,MW,1030-1220
Restr12502A,MW,330-520
12510A,TTh,130-320
12512AB,F,1130-1220
12513AC,F,1230-120
12514AD,F,1230-120
12515AE,F,130-220
12516AF,F,130-220
Restr12521A,TTh,1130-120
Restr21395A,TTh,330-520
Restr12530A,T,330-620
Restr12531A,TTh,130-320
Restr12540A,M,130-220
Restr12541B,M,430-620
Restr12542A,W,1130-220
12268A,TTh,400-520
12270A,WF,1030-1220
12272A,MW,1230-220
12274A,MW,1030-1120
21513AA,Th,1030-1120
21514AB,Th,1130-1220
12280B,TTh,930-1120
12281C,TTh,1130-120
12282E,TTh,500-650
12284G,MW,330-520
12285H,M,330-520
12286A,MW,1030-1220
12287B,TTh,330-520
12288A,TTh,1230-220
12289B,MW,1130-1220
12295B,MW,230-420
12296A,MW,1230-220
12301A,TTh,330-520
12304E,Th,230-420
12305F,WF,830-1020
21493G,MW,1130-120
>12306A,WF,1130-120
21950A,F,930-1120
12310B,Th,330-520
12311C,F,1030-1220
12314A,MW,130-320
19644A,TTh,1030-1220
19646A,MW,330-520
19648AB,F,430-520
19649A,Th,130-420
12646A,WF,1130-1220
12647AA,TTh,830-920
12649AC,TTh,1030-1120
12651AE,TTh,1230-120
12653AG,TTh,230-320
12654AH,TTh,330-420
12656AJ,TTh,930-1020
12658AL,TTh,1130-1220
12659AM,TTh,1230-120
12660AN,TTh,130-220
12663AQ,TTh,1230-120
12665AS,TTh,230-320
12666A,WF,1230-120
12667AA,TTh,830-920
12668AB,TTh,930-1020
12670AD,TTh,1130-1220
12671AE,TTh,1230-120
12672AF,TTh,130-220
12673AG,TTh,230-320
12674AH,TTh,330-420
12676AJ,TTh,930-1020
12679AM,TTh,1230-120
12680AN,TTh,130-220
12682AP,TTh,330-420
12684AR,TTh,130-220
12692A,WF,1030-1120
12693AA,TTh,830-920
12694AB,TTh,930-1020
12696AD,TTh,1130-1220
12697AE,TTh,1230-120
>12698AF,TTh,130-220
12699AG,TTh,230-320
12700AH,TTh,330-420
12701AI,TTh,830-920
12702AJ,TTh,930-1020
12703AK,TTh,1030-1120
12704AL,TTh,1130-1220
12705AM,TTh,1230-120
12708AP,TTh,1230-120
12709AQ,TTh,1130-1220
21812AR,TTh,930-1020
21814AS,TTh,1030-1120
21816AU,TTh,230-320
12710B,WF,230-320
12712BB,TTh,930-1020
12713BC,TTh,1030-1120
12714BD,TTh,1130-1220
12715BE,TTh,1230-120
12716BF,TTh,130-220
12717BG,TTh,230-320
12718BH,TTh,330-420
12719BI,TTh,830-920
12720BJ,TTh,930-1020
12721BK,TTh,1030-1120
12722BL,TTh,1130-1220
12723BM,TTh,1230-120
